despues_C_gamma_1,despues_C_gamma_2,despues_C_gamma_3,despues_C_gamma_4,despues_C_gamma_5,despues_C_gamma_6,despues_C_gamma_7,despues_C_gamma_8,despues_C_gamma_9,despues_C_gamma_10,despues_C_gamma_11,despues_C_gamma_12,despues_C_gamma_13,despues_C_gamma_14,despues_C_gamma_15,despues_C_gamma_16,despues_C_gamma_17,despues_C_gamma_18,despues_C_gamma_19,Clase
0.5,0.4,0.52778,0.61111,0.78571,0.33333,?,0.93333,0.42857,0.47273,0.57778,0.66667,0.4,0.6,0.71429,1,0.66667,0,0.57143,M
1,0.5,0.69444,0.72222,0.95238,1,?,0.85714,0.39286,0.4697,0.6,?,?,0.8,0.61111,0.78571,?,1,0.83333,M
0.2381,0.52778,0.5,0.5,0,0.73333,0.52381,0.5,0.61905,0.67857,0.64286,0.66667,0.57143,0.52778,0.41667,0.16667,0.4,0.33333,?,H
?,0.66667,0.4,0.7,0,?,?,1,0.5,0.39286,0.7,?,1,?,0.4,?,?,?,?,M
0.6,0.47222,0.53571,0.7,0.66667,0.6,0.66667,0.52381,0.47222,0.44444,0.43636,0.66667,0.5,0.37778,0.66667,0.7,0.31818,0.7,1,M
0.6,0.67273,0.57576,0.57143,0.55556,0.56364,0.52778,0.57143,0.65152,0.72222,0.62121,0.75,0.60256,0.5,0.57143,0.52727,0.58333,0.58333,0.5,M
0.53333,0.53571,0.41026,0.66667,0.46667,0.42857,0,0.7,0.52778,0.49091,0.58333,1,0.61905,0.61111,0.42857,0.71429,1,1,?,M
?,1,0.8,0.58333,0.66667,?,?,0.33333,0.55556,0.62222,0.38462,?,1,0.7619,0.78571,0.86667,1,?,0.71429,H
?,0.78571,0.86667,0.54545,0.86667,0.71429,?,0.64444,0.73333,0.59091,1,0.9,0.57143,0.57143,0.5,1,?,?,0.52778,M
?,0.33333,0.33333,0.33333,0.5,?,?,1,0.33333,0,?,?,0.33333,1,0.16667,1,?,?,0.33333,M
?,0.9,0.52778,0.86667,0.66667,?,0,0.69444,0.73333,0.57778,0.64444,?,1,0.5,0.67857,0.71429,?,?,1,M
0,0.51515,0.54545,0.6,0.83333,0.5,0.58333,0.73333,0.63636,0.77778,0.5,1,0.66667,0.66667,0.52778,0.46667,0.52381,0.86667,0.6,H
0.33333,?,0.53333,0.35714,0.61905,0,0.16667,?,0.2,0.5,0.64286,0.33333,1,0.6,0.52381,0.61905,0,?,0.8,M
0.46667,0.7,0.33333,0.2381,0.4,0.6,?,0.33333,0.46667,0.35714,0.46667,0,0,0.5,0.28571,0.33333,0,0,?,H
?,0.5,0.8,0.60714,0.86667,?,?,0.73333,0.47222,0.6,0.62222,1,0.7,0.60714,0.57778,0.8,?,?,0.66667,M
?,0.33333,0.57143,0.64286,1,0,?,0.53333,0.6,0.55556,0.7619,?,1,0.32727,0.52778,0.5,?,?,0.73333,H
0,0.2,0.53333,0.66667,0.5,0,0.5,0.7,0.33333,0.42857,0.35556,?,?,0.83333,0.6,0.53333,0,1,0.66667,H
0.66667,0.32143,0.5,0.72222,0.8,0.6,0.33333,0.73333,0.55556,0.56364,0.71429,?,0,0.49091,0.66667,0.55556,0,1,0.57143,H
0.3,0.52381,0.5,0.66667,0.57143,0.42857,?,0.6,0.66667,0.42222,1,?,1,0.61905,0.46667,0.83333,?,?,0.7,H
