durante_Gio_sf_1,durante_Gio_sf_2,durante_Gio_sf_3,durante_Gio_sf_4,durante_Gio_sf_5,durante_Gio_sf_6,durante_Gio_sf_7,durante_Gio_sf_8,durante_Gio_sf_9,durante_Gio_sf_10,durante_Gio_sf_11,durante_Gio_sf_12,durante_Gio_sf_13,durante_Gio_sf_14,durante_Gio_sf_15,durante_Gio_sf_16,durante_Gio_sf_17,durante_Gio_sf_18,durante_Gio_sf_19,Sujeto,Clase
4.2778,4.2727,5.8626,0.80312,4.0716,3.3079,0.81244,4.1615,6.9198,8.447,5.9488,4.9932,7.0073,8.6392,6.1491,2.5444,5.7539,4.0825,5.1429,B10ESTO,M
3.4126,4.2744,8.6335,6.1004,6.1548,2.5597,4.2332,4.4081,6.2603,7.8946,10.808,4.299,2.6406,5.1526,7.8472,7.9038,2.5995,4.1943,3.5493,B11SUPR,H
1.6486,2.5374,11.0894,3.4988,4.3145,4.1197,3.3303,7.7473,6.8177,7.0168,9.5942,4.9462,7.5501,8.8828,10.7555,4.3938,6.6572,7.7997,9.6113,B12LARA,H
2.5003,0.79651,3.3508,1.6409,3.4234,0,0,2.4961,3.3097,2.8015,5.0179,0.8267,1.6307,6.0377,3.4151,5.8109,0.79651,0,3.2697,B13VIGA,H
3.4002,5.0975,8.7214,8.5499,2.6608,1.8011,1.5975,5.0992,7.7164,7.8292,9.7761,3.2882,7.5371,9.5853,9.9385,6.7567,2.4327,5.2297,8.664,B14FOVA,M
0.8106,0.8106,6.9982,8.1684,6.8542,0,0,6.8824,7.0149,10.6008,9.0581,0.83627,4.0243,8.7594,9.9688,7.7893,2.4339,0.79268,4.5214,B15GOGO,M
7.5115,4.7704,12.8393,10.0834,8.894,10.1777,11.2978,8.695,12.3401,12.3664,0,8.9643,12.4205,13.2462,14.1078,11.9394,10.7973,11.0123,12.4065,B17ARTO,M
2.6701,6.7509,7.7449,4.3322,4.2764,2.6417,5.1183,7.8087,8.8813,7.908,7.7407,5.25,1.8052,9.5196,1.8082,6.0685,2.5991,5.9033,6.7496,B18CASI,H
5.9235,6.79,6.9408,4.9835,4.1215,1.6907,0.82032,5.8552,6.2064,7.0485,7.8629,4.2467,2.5589,7.8386,6.5126,7.7651,1.6346,4.099,3.6456,B20RORA,M
7.1886,1.6173,7.4901,1.5857,4.8141,1.5617,0.81987,4.9342,7.5192,8.4861,7.7376,2.4276,4.8013,9.1158,7.8811,6.6546,3.245,1.6247,3.4465,B21GUDE,M
4.1077,0.77977,6.4278,3.8767,5.8682,0,0,9.1174,11.0396,11.1409,10.5347,9.0846,8.4819,11.772,10.4045,8.401,4.7864,0.80918,5.6791,B22VIPU,H
5.6742,3.3066,8.4887,8.3897,9.421,4.0488,6.5637,7.7263,11.0306,11.3262,11.4344,8.2466,6.5179,11.1394,10.3099,9.5129,6.4361,1.5913,9.3251,B23VEZE,M
1.7063,3.4409,8.5759,6.9131,1.655,0.88544,0,2.551,4.3003,7.2333,5.7453,1.7006,0.8458,8.0055,9.0015,5.2764,1.727,1.6755,2.6146,B24CECU,H
8.9087,8.7607,4.4662,2.4705,6.9182,6.0127,5.0641,5.167,8.9318,7.0884,9.4632,9.6346,9.1308,7.1017,7.0947,11.2506,6.2083,4.3981,8.7175,B25MEVI,M
2.5982,9.0339,10.9773,11.1806,8.0172,0.85373,1.688,11.545,9.2251,10.2197,9.9855,0.86761,11.0264,9.4215,9.3538,1.8137,0.86005,1.691,9.0449,B4CAZAD,H
8.951,9.7089,9.9076,8.1666,10.7677,5.3001,2.5941,8.0031,10.1961,11.7334,10.8613,8.7718,4.4454,4.3937,6.3733,6.2611,8.8341,5.2074,6.2698,B5ARMON,M
2.5008,2.439,8.7723,8.9121,6.0163,7.3701,9.2945,11.2919,5.1184,7.8676,9.7124,0,3.317,6.2015,10.4555,9.3435,1.6484,4.258,9.4109,B6SOMOD,M
4.4762,7.7466,7.0474,6.4444,6.2393,5.2956,3.3652,6.3009,7.213,8.0538,2.6195,5.2799,7.9562,9.8987,8.2238,4.5079,3.5776,6.326,7.0205,B7MESEA,H
4.2675,9.3427,3.4275,8.5904,5.1661,1.6822,0,2.5794,6.8046,8.0382,7.8478,7.6872,6.8143,7.8584,9.8662,4.5727,2.5799,3.3971,3.6227,B8RAMOM,H
2.4561,3.2812,7.7128,3.3433,8.4802,3.2737,1.6015,8.5104,8.8773,8.901,8.2293,4.0976,5.7158,7.7935,6.02,1.6478,3.2846,6.4113,3.4184,M9BENIE,H
3.323,5.9632,5.1155,7.0965,4.3567,2.4674,0,3.4896,6.8942,9.5968,7.9864,4.2006,7.6651,4.0933,5.475,4.3779,0.87445,0.81387,6.0254,M10CAUR,M
