despues_C_beta_1,despues_C_beta_2,despues_C_beta_3,despues_C_beta_4,despues_C_beta_5,despues_C_beta_6,despues_C_beta_7,despues_C_beta_8,despues_C_beta_9,despues_C_beta_10,despues_C_beta_11,despues_C_beta_12,despues_C_beta_13,despues_C_beta_14,despues_C_beta_15,despues_C_beta_16,despues_C_beta_17,despues_C_beta_18,despues_C_beta_19,Clase
?,1,1,0.61905,0.33333,1,0.66667,0.46667,0.66667,0.46667,0.57143,?,0.5,0.28889,0.46667,0.8,0,?,?,H
0.5,0.33333,0.93333,0.75,0.93333,1,?,1,0.4,0.42222,0.53333,0.5,0.33333,0.4,0.8,0.75,0,1,0.41667,M
1,1,0.52778,0.82143,0.77778,0.5,1,1,0.5,0.71111,0.64444,1,?,0.52727,0.52727,0.71111,1,1,1,M
0.5,0.66667,0.57778,0.67857,0.80952,0.80952,0.51111,0.7619,0.90476,0.41667,0.47273,0.93333,0.63889,0.55556,0.57778,0.73333,0.6,0.33333,0.33333,H
?,0.33333,0.83333,1,1,?,?,?,0.2,0.38095,0.83333,0.33333,1,1,0.4,?,?,?,?,M
0.33333,0.75,0.69444,0.85714,0.85714,0.6,1,0.51282,0.72727,0.65455,0.57143,0.61818,0.72727,0.71429,0.53333,0.80952,0.57576,0.9,1,M
0.73333,0.60714,0.39286,0.66667,0.5,0.9,0.33333,0.5,0.63889,0.47222,0.26667,0.61905,0.67857,0.33333,0.46667,0.66667,0.33333,0.16667,0,M
0.33333,0.46667,0.47619,0.42857,0.46667,0.66667,0.66667,0.4,0.38095,0.53333,0.35556,0.33333,0.6,0.47619,0.28571,0.46667,0.4,0.46667,1,M
1,0.4,0.71429,0.58182,0.62222,0.7,0.33333,0.7619,0.64286,0.67273,0.67273,?,?,0.75556,0.89286,0.75,0.16667,0.33333,0.89286,H
?,0.78095,0.81319,0.92308,0.93939,0.7619,1,0.91026,0.75641,0.92308,0.9697,0.77778,0.78095,0.91026,0.78095,0.94444,1,?,0.93939,M
?,0.85714,0.6,0.57778,0.66667,0.95238,0.8,0.46667,0.75,0.85714,?,?,0.64444,0.71429,0.42424,0.66667,1,1,0.66667,M
0,0.77778,0.77778,0.65455,0.75,?,0.33333,0.73333,0.68889,0.80556,0.69091,?,0.66667,0.83333,0.67857,0.69091,1,0,0.5,M
0.7,0.53571,0.52727,0.6,0.66667,0.83333,0.55556,0.8,0.45455,0.6,0.71429,0.83333,0.61905,0.55556,0.8,0.35556,0.5,1,1,H
0.2,?,0.8,0.52381,0.57143,0,0,0.53333,0.4,0.5,0.5,0.66667,0.66667,0.6,0.7,0.5,0.66667,0.3,0,M
?,0.8,1,0.52778,0.6,0,1,0.52778,1,0.55556,0.55556,0,0,1,0.5,0,0,0,0.6,H
?,?,0.78571,0.66667,0.90476,?,1,0.8,0.5,0.42857,0.57778,0.16667,0.33333,0.5,0.66667,1,?,?,0.71429,M
1,0.46429,0.71429,0.62121,0.63889,0.38095,0,0.46667,0.6,0.53846,0.68889,0.61111,0.61905,0.6,0.67273,0.90476,0,0.85714,0.82143,H
0.91667,0.8,0.59341,0.69444,0.6,0.82222,0.64103,0.68889,1,0.60714,0.57778,1,1,1,0.8,0.7619,0.72727,?,1,H
0.64286,0.61905,0.53333,0.64286,0.6,0.9,1,0.47619,0.58333,0.5303,0.63889,1,0.66667,0.52381,0.6,0.60714,1,0.9,0.8,H
0.7,0.75556,0.69697,0.75758,0.86111,0.54945,?,0.64444,0.63636,0.69231,0.85714,0.8,1,0.80556,0.78182,1,0.5,?,0.75758,H
