despues_C_sf_1,despues_C_sf_2,despues_C_sf_3,despues_C_sf_4,despues_C_sf_5,despues_C_sf_6,despues_C_sf_7,despues_C_sf_8,despues_C_sf_9,despues_C_sf_10,despues_C_sf_11,despues_C_sf_12,despues_C_sf_13,despues_C_sf_14,despues_C_sf_15,despues_C_sf_16,despues_C_sf_17,despues_C_sf_18,despues_C_sf_19,Clase
0.5,0.61905,0.5303,0.67273,0.72727,0.64286,1,0.64286,0.57143,0.85714,0.54945,0.78571,0.7619,0.65385,0.67949,0.73333,0.62821,0.59091,0.69697,H
0.2381,0.66667,?,0.28571,0.5,0,0,0.5,0.4,0.38095,0.4,0.5,0.21429,0.26667,0.38095,0.66667,0.33333,?,0.4,H
0,0,0.46429,0.64286,0.71429,0,?,0.83333,0.2,0.60714,0.78571,?,?,0.78571,0.80952,0.69444,?,?,0.9,H
0.5,0.38095,0.57143,0.52778,0.66667,0.33333,1,0.8,0.47619,0.39394,0.60714,0.33333,0.6,0.33333,0.73333,0.5,0.66667,?,0.42857,M
0.8,0.64286,0.5303,0.77778,0.80556,0.5,?,0.75,0.57778,0.5641,0.59091,1,0.33333,0.9,0.82143,0.62222,?,1,0.66667,M
?,1,0.36111,0.38095,0,0,1,0.5,0.4,0.61905,0.61905,0,0.52381,0.38095,0.46667,0,0.33333,0,?,H
?,0.7,0.57143,0.66667,1,?,?,0.9,0.42857,0.44444,0.60714,1,0.66667,0.6,0.71429,1,?,?,?,M
0.5,0.51111,0.57143,0.6,0.66667,0.5,0.5,0.38095,0.37778,0.52778,0.39394,0.66667,0.52381,0.41667,0.46667,0.66667,0.5,0.46429,?,M
0.67857,0.64444,0.51282,0.57143,0.53333,0.58333,0.5,0.64286,0.66667,0.55556,0.54545,0.7619,0.61818,0.5,0.55556,0.60714,0.5,0.73333,1,M
0.6,0.37778,0.4,0.73333,0.53333,0.32143,0.66667,0.53333,0.46429,0.58333,0.48889,1,0.52381,0.58333,0.42857,0.5,0.73333,0,?,M
0,0.83333,0.7,0.55556,0.75,?,?,0.5,0.46429,0.72222,0.5,?,?,0.71429,0.82143,0.90476,0.3,1,0.7619,H
0.5,0.53333,0.9,0.5,0.80952,0.47222,0,0.80952,0.53333,0.56364,0.86667,0.66667,0.47222,0.53571,0.66667,1,0.5,?,0.44444,M
?,0.33333,0.33333,0,?,?,?,?,1,?,?,?,?,0,0,?,?,?,?,M
1,0.8,0.48889,0.8,0.66667,?,0.33333,0.67857,0.73333,0.55556,0.69444,?,0.42857,0.53333,0.64286,0.66667,?,?,0.5,M
0.5,0.54945,0.69231,0.67273,0.8,0.61818,0.63636,0.82143,0.68182,0.68182,0.59341,0.33333,0.71429,0.65385,0.68889,0.65152,0.61905,0.75,0.75,H
0.33333,?,0.83333,0.42857,0.4,0,0,?,0.2,0.28571,0.5,0.33333,1,0.5,0.38095,0.5,0,?,0.66667,M
1,1,0,0.33333,0.66667,0.6,0,0.4,0.6,0.35714,0.47619,1,0,0.66667,0.5,0.66667,?,?,?,H
1,0.57143,0.85714,0.57778,0.75,?,?,0.80952,0.51111,0.66667,0.65455,1,0.8,0.58333,0.6,0.80952,?,?,0.6,M
?,0.83333,0.71429,0.52778,0.33333,0,?,0.5,0.53571,0.55556,0.55556,?,?,0.60714,0.57143,0.5,?,?,0.71429,H
0.33333,0.26667,0.39286,0.6,0.47619,0,0.6,0.46667,0.2,0.42857,0.37778,?,0,1,0.5,0.7,0.13333,0.6,0.53333,H
0.6,0.7,0.50909,0.72222,0.8,0.57143,1,0.86667,0.53333,0.47436,0.78571,0,0,0.62222,0.62222,0.52778,0,1,0.52381,H
0.61905,0.6,0.66667,0.71429,0.66667,0.52727,?,0.71429,0.5,0.66667,0.72222,1,1,0.59091,0.67273,0.90476,1,?,0.80556,H
