durante_Gio_alpha_1,durante_Gio_alpha_2,durante_Gio_alpha_3,durante_Gio_alpha_4,durante_Gio_alpha_5,durante_Gio_alpha_6,durante_Gio_alpha_7,durante_Gio_alpha_8,durante_Gio_alpha_9,durante_Gio_alpha_10,durante_Gio_alpha_11,durante_Gio_alpha_12,durante_Gio_alpha_13,durante_Gio_alpha_14,durante_Gio_alpha_15,durante_Gio_alpha_16,durante_Gio_alpha_17,durante_Gio_alpha_18,durante_Gio_alpha_19,Clase
9.5342,9.5447,9.7122,4.7845,7.3199,7.3702,7.0678,5.9129,6.8541,3.401,7.9006,12.2963,7.0527,3.8168,5.4238,7.8333,5.8098,3.7681,4.6133,M
5.9615,12.5467,10.6603,5.4348,7.0644,8.4641,1.6299,4.3402,9.9235,7.8049,8.835,10.4048,11.7094,10.6616,13.0209,1.7299,7.8409,6.0738,5.0475,H
6.6504,5.3542,8.3672,7.4704,6.9666,5.8899,6.1273,7.6664,3.8862,9.7026,4.9944,3.0638,3.769,6.4518,6.1101,0.7305,2.1293,2.1217,0.7305,M
5.7314,5.5731,4.1537,1.3959,1.4956,0.85239,1.5621,0.69887,7.2437,7.3256,5.5221,1.4533,5.1946,8.106,6.2944,5.2349,3.688,1.4654,2.0918,M
5.4807,7.4391,7.7284,6.371,4.9387,6.1474,6.5204,2.7296,10.115,6.977,6.0258,7.3813,8.7902,9.2369,6.2365,6.0244,8.558,6.5662,7.1995,H
7.5623,11.5365,6.6752,8.8156,11.1235,2.9077,3.7567,9.4121,7.8341,7.3883,11.0317,3.7425,11.6335,9.3873,11.5431,9.0605,6.0079,9.3954,10.2661,H
8.2532,8.4839,8.9598,7.6248,11.4526,10.0507,5.6713,8.4358,7.2226,9.289,9.0571,7.0186,9.7496,12.0711,6.0389,5.8914,5.0035,10.5327,4.619,H
9.1281,7.2392,6.1408,5.4325,5.6383,8.379,5.3681,6.7792,8.8203,10.3972,9.5602,6.661,9.0377,7.7126,7.52,5.1106,3.157,4.5997,6.6932,M
5.7839,8.0317,8.3486,4.0882,3.1966,5.5329,0.79762,2.973,9.646,5.0821,4.9037,4.9842,6.3062,6.3692,7.4116,1.6713,5.2818,2.9924,5.7333,M
5.5615,5.4912,4.4327,4.5938,3.8679,3.1218,3.0348,2.2283,4.286,5.4711,4.0243,4.6885,5.5025,1.5637,4.067,2.3959,3.1623,2.3975,2.2388,H
8.481,7.661,8.0237,9.886,2.2902,0,7.5889,7.4637,8.454,8.706,7.8383,8.5811,7.7508,2.3101,3.7652,4.2686,6.6634,1.3633,3.4802,M
7.767,8.0409,3.0851,8.2189,6.0623,6.4256,5.6762,10.0148,6.5695,9.4278,7.9737,5.7877,8.6747,5.0289,7.3863,2.3172,0,2.1998,4.7715,M
11.5819,10.54,0,1.5025,0,6.7444,0,9.8912,10.3018,8.7309,8.4204,11.4483,11.4751,10.0471,11.084,5.967,10.6706,9.4904,8.7004,M
3.6247,11.8255,7.5989,10.2571,6.1763,7.3378,7.5925,5.4836,7.2171,7.5299,9.0852,0.82379,5.1533,8.091,9.0413,6.3428,9.2696,7.1473,0.71655,M
4.893,3.0439,0.65695,2.714,4.4109,2.707,3.3303,1.3729,9.6596,9.6175,7.1894,7.392,7.7932,8.0171,8.7522,5.9975,7.9135,4.2702,8.9446,H
2.2308,3.7571,7.0466,7.5107,4.1729,4.1314,4.2058,6.7721,5.8466,5.1068,6.8306,3.6709,3.6264,4.2932,6.758,2.0199,4.2693,4.0511,4.9996,M
5.6369,14.8168,14.6986,14.1888,12.9352,15.0586,15.2431,14.3331,15.2554,14.144,8.8852,5.682,16.0592,14.3705,14.0539,13.0514,12.7742,14.227,14.1473,M
3.1258,3.8502,4.7215,5.8988,5.3044,4.606,3.224,4.1702,5.4214,3.9006,5.9979,4.627,7.4981,4.4357,4.2438,6.6176,2.3816,2.4007,2.3798,M
5.3675,6.3238,8.1225,1.456,3.1174,7.373,2.1456,0,7.0028,6.0981,3.8343,6.7674,7.2961,7.6651,3.2704,4.6722,5.417,7.6706,4.5745,H
4.7259,1.4341,4.4463,4.1542,2.2624,5.9202,3.6018,3.5552,6.1793,2.1934,3.2353,4.6441,3.6645,0.67933,2.4935,2.8499,3.0402,3.814,1.5081,M
2.3109,8.3435,5.025,9.2311,8.2921,2.3679,0,8.2292,9.9413,10.293,9.5655,7.4734,8.5143,9.4105,9.3577,5.1231,9.1252,5.5473,0,H
5.8289,0.67177,6.5597,3.864,3.2253,1.47,3.4749,3.7411,6.6997,7.2229,2.8593,6.5393,6.7552,6.8061,7.2294,3.6028,6.6767,1.327,0.78131,M
11.4695,10.061,2.9014,8.9184,13.9952,13.7546,6.5688,9.8282,11.0144,12.8668,14.3826,11.3828,14.3344,11.2,7.4744,8.2769,10.8619,13.2996,7.4995,H
7.2599,7.0811,9.9715,7.2537,8.0893,5.7683,8.5548,8.9638,6.1715,5.3907,7.1488,5.8914,8.6856,5.4386,3.1913,8.9329,8.0963,4.9773,8.4604,H
8.2449,10.154,8.7332,6.7931,7.8113,8.9191,5.1617,2.9678,10.6422,7.0329,5.513,7.3072,6.7518,8.4172,6.098,5.346,6.4397,1.3565,0,H
10.873,13.2875,13.1402,14.3992,10.8574,10.6833,10.8176,12.2321,13.5212,14.1312,7.4281,13.8622,14.1309,14.9376,12.5804,2.4419,13.2862,5.6498,10.4875,H
