despues_Gio_alpha_1,despues_Gio_alpha_2,despues_Gio_alpha_3,despues_Gio_alpha_4,despues_Gio_alpha_5,despues_Gio_alpha_6,despues_Gio_alpha_7,despues_Gio_alpha_8,despues_Gio_alpha_9,despues_Gio_alpha_10,despues_Gio_alpha_11,despues_Gio_alpha_12,despues_Gio_alpha_13,despues_Gio_alpha_14,despues_Gio_alpha_15,despues_Gio_alpha_16,despues_Gio_alpha_17,despues_Gio_alpha_18,despues_Gio_alpha_19,Clase
7.1132,7.6195,7.8813,3.5685,4.5743,4.5821,5.1788,6.1319,6.3009,6.1098,7.4607,7.1562,4.3424,7.3359,6.4715,4.9399,3.8931,1.3812,5.0796,M
3.9644,9.1664,9.8975,9.89,10.1673,10.8435,4.1103,4.0882,12.1821,11.9709,4.7536,0.7598,8.9461,9.2793,10.5228,11.741,8.5068,5.9136,11.8341,H
1.409,4.7663,3.233,3.1967,1.4645,2.1182,1.4031,6.653,6.2563,5.538,2.4123,2.1733,3.596,4.5746,3.3788,6.8812,0.70418,3.7888,5.6022,M
2.098,2.1921,3.8607,6.4234,3.9129,3.6157,1.4348,5.3798,3.1261,4.0731,7.9721,3.6916,6.0318,6.1212,5.3953,3.0537,1.4749,2.8407,3.734,M
3.0753,2.3671,2.0166,5.9439,6.5593,3.7001,0.65961,2.8295,4.2978,6.1669,6.5972,2.2228,0.74746,5.1525,6.6916,5.9105,0.66554,1.4199,3.7325,H
9.6526,10.588,9.852,9.6046,10.4315,10.2914,5.9538,8.3696,12.2289,11.3064,8.8218,11.4787,11.4364,8.586,3.8381,5.1317,11.7505,6.5922,1.5405,H
3.1813,2.9639,2.8863,6.4624,6.2652,5.2712,2.4647,0.79709,5.8513,6.8011,7.4923,3.1451,0.74188,7.3623,7.3925,0.88012,5.1504,1.3463,3.6533,H
7.1802,7.265,8.5729,4.2566,4.3967,8.2406,11.3591,4.0175,8.8886,11.9441,7.7775,10.0896,8.9798,8.0686,9.249,8.2822,6.8152,9.2436,10.6099,M
7.2838,8.5595,8.7897,7.4179,5.7597,7.7844,2.6852,6.6959,9.0062,10.2429,5.8681,5.7939,7.8472,7.6507,6.5821,3.0496,7.1603,3.5837,2.8682,M
6.7153,5.0793,3.2032,6.2826,6.9621,4.7467,4.2433,7.0812,2.9003,1.4227,4.0133,3.8729,4.6669,2.1599,4.1752,3.8709,4.0659,0.69294,2.3928,H
9.7787,7.9567,7.6117,9.8677,2.4169,1.3581,2,6.5995,9.5035,9.4117,10.463,8.9472,8.5141,2.3382,7.39,6.443,6.4164,0.65152,7.0434,M
8.795,10.6277,9.2407,2.9183,7.6174,6.5345,3.11,0,10.2361,9.2115,9.4263,7.9687,6.6314,7.945,6.153,3.6145,7.959,2.9151,7.7504,M
8.2986,6.4763,4.213,6.9349,4.9785,5.5896,2.0488,6.7578,7.9085,7.774,6.8017,6.2161,9.1722,5.6438,6.2377,5.181,7.5977,3.8501,3.1752,M
5.7213,5.9119,10.2662,8.8369,7.3732,1.5869,1.654,9.1718,7.558,7.2884,6.8868,5.8984,8.0799,5.3577,7.7154,6.5048,2.2902,0.69943,1.3881,M
6.5297,8.1271,7.9693,9.5861,4.0328,7.6958,6.6783,5.7676,10.3054,9.8801,9.6848,8.6663,6.5603,4.0271,10.008,8.7371,8.4737,3.6712,6.4845,H
