durante_Gio_delta_1,durante_Gio_delta_2,durante_Gio_delta_3,durante_Gio_delta_4,durante_Gio_delta_5,durante_Gio_delta_6,durante_Gio_delta_7,durante_Gio_delta_8,durante_Gio_delta_9,durante_Gio_delta_10,durante_Gio_delta_11,durante_Gio_delta_12,durante_Gio_delta_13,durante_Gio_delta_14,durante_Gio_delta_15,durante_Gio_delta_16,durante_Gio_delta_17,durante_Gio_delta_18,durante_Gio_delta_19,Clase
3.2701,15.45,16.0582,13.2278,11.716,9.5073,14.3836,12.6296,14.5986,15.4796,15.0701,9.6621,14.6255,15.4656,15.4208,12.799,14.9252,14.4632,15.9575,H
11.8179,11.084,11.696,9.5149,11.7656,3.8323,6.1991,8.7292,10.7276,10.6522,8.9244,11.6136,11.8517,5.1591,11.7839,3.9081,7.7372,3.5787,10.4039,M
2.1826,10.3063,10.7159,9.4041,3.7306,7.5972,11.3782,8.2235,9.3214,10.9181,10.0744,3.7691,10.6985,9.1912,10.403,6.889,2.1771,6.0635,10.6255,M
5.9452,9.0694,4.2093,7.6349,6.871,6.3371,7.3927,5.3048,7.9061,3.4881,7.0778,1.996,5.8704,4.2003,7.9543,7.2789,4.7151,8.8265,9.1517,H
6.1045,11.3077,10.2029,10.0877,11.4748,12.9343,9.0571,6.3903,12.4506,7.3129,11.4368,11.1371,9.2624,12.6869,10.1244,9.4395,5.1408,6.4124,6.506,H
4.474,10.9731,6.3598,7.9426,9.8677,9.9876,7.8372,3.6649,6.6086,7.3088,10.5793,4.3941,8.0081,4.5788,9.3174,10.1709,9.6038,8.286,4.3927,H
7.1901,7.2962,3.1246,7.106,7.7967,7.7686,5.9284,6.6788,5.6715,5.396,7.9328,6.7301,8.7983,3.7684,5.349,7.4894,4.198,4.6494,5.4437,M
12.6177,14.2755,11.7404,13.0768,10.3744,5.3474,3.3424,11.8827,14.2906,8.5642,14.0004,12.5501,4.2277,12.6069,14.1506,12.8663,12.6868,8.715,14.0173,M
11.4971,11.181,4.9344,12.2352,7.5217,11.7964,13.2683,4.8048,10.991,10.4205,12.1294,12.4169,11.3301,10.4761,5.9447,3.7204,12.3068,12.4972,12.5237,H
3.9516,4.8299,7.3721,8.0061,8.4281,4.3578,4.4586,1.4343,3.1825,6.6913,7.032,3.9605,4.61,7.846,7.1582,7.1452,3.8457,6.7803,6.6056,M
