durante_C_delta_1,durante_C_delta_2,durante_C_delta_3,durante_C_delta_4,durante_C_delta_5,durante_C_delta_6,durante_C_delta_7,durante_C_delta_8,durante_C_delta_9,durante_C_delta_10,durante_C_delta_11,durante_C_delta_12,durante_C_delta_13,durante_C_delta_14,durante_C_delta_15,durante_C_delta_16,durante_C_delta_17,durante_C_delta_18,durante_C_delta_19,Sujeto,Clase
0.6,0.8,0.33333,0.3,0.69091,0.47619,0.80556,0.82143,0.74545,1,0.64444,0.88889,0.60606,0.4,0.33333,1,0.74545,0.66667,0.66667,A10GUAC,A
0.77941,0.91667,0.77941,0.77124,0.91667,0.93333,1,0.8,0.83824,0.91667,0.98095,0.98095,0.98095,0.91667,0.98095,0.98095,0.98095,0.98095,1,A11BRCA,A
0.9,0.75,0.76364,0.76364,0.80556,0.9,0.6,0.66667,0.91667,0.91667,0.82222,0.6,0,0.9,0.83333,0.8,0.91667,0.6,0.61905,A12CAPA,A
0.72222,0.71429,0.57778,0.70909,0.89286,0.66667,0.57692,0.89286,1,0.59091,0.80556,0.86667,0.6,0.57778,0.67273,0.55128,0.71429,0.75,0.63889,A13RIVI,A
0.91912,1,0.88235,0.88235,0.92647,0.95,0.9619,0.91912,0.94167,0.88235,1,0.91912,0.93333,0.88235,0.88235,0.92647,0.92647,1,0.92647,A14RARO,A
0.83333,0.86111,0.61818,0.7619,0.72222,0.63636,1,0.6,0.69091,0.77778,0.6,0.89286,0.86111,0.6,0.72222,1,0.57778,1,0.7619,A15GOGA,A
0.71111,0.69091,0.68182,0.76923,0.71429,0.78571,1,0.91111,0.58333,0.89091,0.77273,0.80556,0.64762,0.76923,0.89091,0.57778,0.64762,0.89091,0.91111,A17MUSI,A
0.90476,NaN,0.81818,0.85294,0.90476,0.85294,0.92308,0.85294,0.88333,0.9697,0.94505,0.89167,0.85294,0.85294,0.92381,1,0.96154,0.85294,0.96154,A1ARVAE,A
1,0.62637,0.89744,0.89744,1,0.85714,0.69167,0.89744,0.62637,0.89744,1,1,0.77778,0.81319,1,0.93939,0.85714,0.69167,0.93939,A21AGLO,A
0.66667,0.95556,0.74242,0.46667,0.47619,0.93333,0.89091,0.70513,0.5303,0.83636,0.5,1,0.80303,0.83636,0.77778,0.6,0.80303,0.80303,0.8,A22SAHE,A
1,1,1,1,1,1,0.90196,1,1,1,1,1,1,1,0.90196,1,1,1,0.90196,A24FLMA,A
0,0.80769,0.92857,0.74167,0.74167,0.92727,0.87273,0.74167,0.86667,0.75,0.74167,0.74545,NaN,0.81319,0.87879,0.84615,0.90909,0.87179,0.89394,A52CUCA,A
