despues_Gio_sf_1,despues_Gio_sf_2,despues_Gio_sf_3,despues_Gio_sf_4,despues_Gio_sf_5,despues_Gio_sf_6,despues_Gio_sf_7,despues_Gio_sf_8,despues_Gio_sf_9,despues_Gio_sf_10,despues_Gio_sf_11,despues_Gio_sf_12,despues_Gio_sf_13,despues_Gio_sf_14,despues_Gio_sf_15,despues_Gio_sf_16,despues_Gio_sf_17,despues_Gio_sf_18,despues_Gio_sf_19,Sujeto,Clase
1,2.3834,2.3432,1.6155,0,0.78915,0,0.82409,1.5866,0.79389,0,1,0.78837,1.5645,2.3396,0,0,0,0.76953,M22HUGU,M
2.3866,5.01,8.5945,5.4898,6.2308,0.88176,2.544,6.945,5.2707,7.6528,8.0637,0,5.6924,8.3236,7.0933,6.3294,0.8026,0.8016,3.5129,M23SACA,M
3.4072,12.4122,11.7246,9.9172,8.8411,9.4438,10.445,7.0863,10.6618,10.8273,12.4592,2.6237,7.2611,11.2672,8.8796,10.454,6.3165,7.1946,7.1356,M24SAME,M
4.9959,0,3.4913,6.2589,5.1366,2.4842,1.6242,0.7993,4.294,6.8349,7.1622,2.524,1.8419,3.297,6.0256,4.3763,2.4478,0.82904,2.4907,M25MAVI,M
3.3621,3.4571,1.6618,6.0792,3.7068,4.2396,1.6189,4.1166,4.263,7.012,6.3005,1.658,1.615,2.5699,4.4689,2.6231,0.80427,0.80896,0,M27MUAG,M
1.5998,6.5347,6.0923,8.7825,6.8509,0,0.79666,6.1213,8.3993,8.672,9.8017,2.4829,4.3078,7.8566,9.7303,6.0119,0,0.79831,5.0679,M28NUCO,M
0.83091,3.4579,6.195,7.934,3.6545,1.6551,0.83196,3.4963,6.8871,8.0904,7.9793,0.82417,0.90267,7.0291,6.7822,3.4926,0,0.83284,6.1314,M3ESDIR,M
2.5843,5.0172,6.8426,4.2254,6.1415,1.7466,4.2125,5.2875,4.1372,6.8195,8.5729,0.84106,1.6978,3.4385,7.8442,4.5843,5.0289,5.0066,5.2611,M7FLSAA,M
4.363,4.4248,9.7532,8.1635,5.4503,6.1572,3.4845,5.169,9.0017,11.3878,7.2151,1.6746,1.7425,8.973,9.1154,8.1733,2.583,2.6517,6.338,M8AVGUK,M
5.8374,9.3521,5.9007,7.1756,7.9987,9.2391,0,6.9482,10.3676,10.5743,7.6176,2.4791,3.3638,10.3578,9.9544,6.0803,1.6516,0,7.8379,M9SAAND,M
