durante_Gio_gamma_1,durante_Gio_gamma_2,durante_Gio_gamma_3,durante_Gio_gamma_4,durante_Gio_gamma_5,durante_Gio_gamma_6,durante_Gio_gamma_7,durante_Gio_gamma_8,durante_Gio_gamma_9,durante_Gio_gamma_10,durante_Gio_gamma_11,durante_Gio_gamma_12,durante_Gio_gamma_13,durante_Gio_gamma_14,durante_Gio_gamma_15,durante_Gio_gamma_16,durante_Gio_gamma_17,durante_Gio_gamma_18,durante_Gio_gamma_19,Clase
3.3224,10.3555,9.5545,10.885,7.0433,8.2094,0.80769,3.9801,10.4167,10.491,8.8933,2.502,6.8372,9.3341,11.6218,10.4809,3.2954,2.3693,0.7812,M
0.84704,7.6754,8.7501,9.7663,5.9317,7.7108,0,3.296,9.6854,10.5109,9.9456,1.6161,5.967,10.6031,8.7975,8.5918,3.2806,3.3079,3.6366,H
0,0.78864,1.5729,2.3974,0.83249,0,0,1.579,0.80085,3.2241,5.1329,0,1.61,5.7334,3.5574,0.79399,0,0.76885,2.4723,M
5.8749,7.7656,8.6084,8.6272,6.003,4.2244,2.5049,10.2899,11.2972,8.8535,0.85778,2.5925,8.7308,10.2284,10.561,4.3225,7.6427,2.5808,6.1077,M
1.6371,5.2914,6.1155,8.5733,8.4049,0.80686,1.642,3.5342,6.3229,10.5398,7.9034,2.4477,7.7147,8.022,9.4955,5.1944,4.1185,4.9871,5.8303,M
2.4456,0,7.8082,4.3526,2.467,2.4746,0.84394,0.88891,6.1678,5.3754,5.1331,5.0211,5.9663,5.0902,2.5859,3.4228,5.7936,0.8328,3.2765,M
0,0,5.8294,7.2405,6.0574,0.78883,0,5.0311,2.5912,6.1158,8.6404,1.5766,5.7933,5.9942,8.5373,5.3214,0.82584,1.6247,5.1091,M
0,4.3924,6.0031,3.4632,4.3757,6.0663,0,3.5826,7.9989,6.304,8.0722,0.8312,5.2598,7.0091,8.1416,2.7062,1.6921,0,3.6802,H
3.3653,8.5396,7.91,8.9475,8.8363,2.5962,2.5376,5.3291,10.7383,9.0838,8.9681,4.3191,7.8434,10.0266,8.8531,9.7495,5.1396,2.5254,5.2096,H
0.90498,4.3128,6.2228,6.2045,6.1203,2.5735,0.8738,2.5407,7.8259,7.3466,7.1886,0.8738,0.84372,6.2986,6.3172,2.6186,0,0.88307,4.2744,H
