@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 9\nSize of the tree: 17\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

durante_C_alpha_HM_AMB,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,38,4,2,2,0,50,50,0,0,0.5,0.525622,100,105.12433,4,4.320443,-0.320443,1,1.080111,-0.080111,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0,0,0,0,0,0,4619,9383,2957,100,100,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
durante_C_beta_HM_AMB,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,36,4,0,4,0,0,100,0,-1,0.678899,0.691419,135.779884,138.283831,4,7.283302,-3.283302,1,1.820825,-0.820825,-1.664467,-0.416117,-166.446698,0,0,1,2,0,0,1,2,0,0,0,-1,0,0.416667,0,1,0,1,0,0,0,-1,0,0.416667,0,0,0.001,0,0,0,0,0,4599,8985,2937,100,100,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
durante_C_beta_HM_AMB,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,36,4,1,3,0,25,75,0,-0.5,0.521739,0.528042,104.347826,105.608329,4,4.335608,-0.335608,1,1.083902,-0.083902,-0.238278,-0.05957,-23.827831,0,0,0.5,1,0.5,1,1,2,0,0,0,-0.57735,0.375,0.5,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0.375,0.5,0.2,0.25,0.001,0,0,0,0,0,4963,8985,2937,100,100,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
durante_C_beta_HM_AMB,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,36,4,1,3,0,25,75,0,-0.5,0.7037,0.813932,140.739904,162.786398,4,1081.163098,-1077.163098,1,270.290774,-269.290774,-1.716816,-0.429204,-171.681617,0.5,1,1,2,0,0,0.5,1,0.333333,0.5,0.4,-0.57735,0.375,0.5,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0.375,0.5,0.2,0.25,0.001,0,0,0,0,0,6055,8985,2937,75,75,'Number of leaves: 7\nSize of the tree: 13\n',13,7,7
durante_C_beta_HM_AMB,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,36,4,2,2,0,50,50,0,0,0.5,0.627289,100,125.457742,4,1076.230954,-1072.230954,1,269.057739,-268.057739,-0,-0,-0,0,0,0,0,1,2,1,2,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,5691,8985,2937,75,75,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
durante_C_beta_HM_AMB,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,36,4,2,2,0,50,50,0,0,0.5,0.537044,100,107.408752,4,4.481395,-0.481395,1,1.120349,-0.120349,0,0,0,1,2,1,2,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0.01,0,10,0,4599,8985,2937,100,100,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
durante_C_beta_HM_AMB,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,36,4,2,2,0,50,50,0,0,0.5,0.668664,100,133.732778,4,1077.240899,-1073.240899,1,269.310225,-268.310225,0,0,0,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.001,0,0,0,0,0,5691,8985,2937,75,75,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
durante_C_beta_HM_AMB,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,36,4,2,2,0,50,50,0,0,0.5,0.5,100,100,4,4,0,1,1,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,3630,8985,2937,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
durante_C_beta_HM_AMB,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,36,4,1,3,0,25,75,0,-0.5,0.658749,0.744297,131.749828,148.85935,4,8.701294,-4.701294,1,2.175323,-1.175323,-1.422539,-0.355635,-142.253922,0,0,0.5,1,0.5,1,1,2,0,0,0,-0.57735,0.5,0.583333,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0.5,0.666667,0.2,0.25,0.001,0,0,0,0,0,5691,8985,2937,100,100,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
durante_C_beta_HM_AMB,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,36,4,1,3,0,25,75,0,-0.5,0.703138,0.773486,140.627577,154.697289,4,10.463442,-6.463442,1,2.615861,-1.615861,-1.71032,-0.42758,-171.032035,0,0,0.5,1,0.5,1,1,2,0,0,0,-0.57735,0.25,0.5,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0.25,0.458333,0.2,0.25,0,0.001,0,0,0,0,5327,8985,2937,75,87.5,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
durante_C_beta_HM_AMB,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,36,4,3,1,0,75,25,0,0.5,0.312329,0.515306,62.465894,103.061118,4,1074.413726,-1070.413726,1,268.603431,-267.603431,1.586274,0.396569,158.627401,1,2,0.5,1,0.5,1,0,0,0.666667,1,0.8,0.57735,0.75,0.666667,0.75,0.25,0.75,0.25,0.833333,0.75,0.733333,0.57735,0.75,0.708333,0.733333,0.75,0.001,0,0,0,0,0,5691,8985,2937,75,62.5,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
durante_C_delta_HM_AMB,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2339,36,4,2,2,0,50,50,0,0,0.5,0.5,100,100,4,4,0,1,1,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0,0,0,0,0,0,3650,9005,2957,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
