despues_Gio_sf_1,despues_Gio_sf_2,despues_Gio_sf_3,despues_Gio_sf_4,despues_Gio_sf_5,despues_Gio_sf_6,despues_Gio_sf_7,despues_Gio_sf_8,despues_Gio_sf_9,despues_Gio_sf_10,despues_Gio_sf_11,despues_Gio_sf_12,despues_Gio_sf_13,despues_Gio_sf_14,despues_Gio_sf_15,despues_Gio_sf_16,despues_Gio_sf_17,despues_Gio_sf_18,despues_Gio_sf_19,Sujeto,Clase
0.78234,4.0524,6.6803,6.04,1.7908,0,0.79054,4.0815,6.5622,8.5262,6.837,1.5841,2.4412,4.1094,5.9015,2.427,0,0.79054,0,M13FECA,M
4.4792,8.7334,6.9993,4.245,2.5486,6.823,4.1816,5.9377,8.8106,7.7357,10.4099,2.4912,5.842,7.6143,5.3295,3.3953,6.802,6.6934,0.83484,M16ARVE,M
7.324,9.1656,11.4965,6.1815,8.9708,8.1415,6.9695,7.0771,9.3974,9.1221,9.8748,6.5297,9.9483,10.7123,8.1359,7.2358,8.1539,5.2814,3.5584,M17GOSE,M
4.2472,8.3341,8.5907,5.3357,5.119,6.7313,2.5162,4.9416,6.8304,7.9392,8.896,2.5223,6.0523,7.8796,5.9413,6.9141,4.9211,1.6135,0.80303,M18HUME,M
1.6814,3.2763,4.3132,7.6497,6.8387,0,0,3.4317,6.8329,7.9908,10.6619,0.84171,0.82142,6.8855,7.1748,6.1354,4.16,1.622,6.0226,M19NAMO,H
3.2131,8.1922,4.1334,10.9771,5.8806,7.5812,1.5849,6.0223,4.8826,9.4045,4.8583,2.3928,7.4182,6.7738,8.7961,1.6305,4.0231,0,7.7683,M21SANA,M
1,2.3834,2.3432,1.6155,0,0.78915,0,0.82409,1.5866,0.79389,0,1,0.78837,1.5645,2.3396,0,0,0,0.76953,M22HUGU,M
2.3866,5.01,8.5945,5.4898,6.2308,0.88176,2.544,6.945,5.2707,7.6528,8.0637,0,5.6924,8.3236,7.0933,6.3294,0.8026,0.8016,3.5129,M23SACA,M
4.9959,0,3.4913,6.2589,5.1366,2.4842,1.6242,0.7993,4.294,6.8349,7.1622,2.524,1.8419,3.297,6.0256,4.3763,2.4478,0.82904,2.4907,M25MAVI,M
1.5998,6.5347,6.0923,8.7825,6.8509,0,0.79666,6.1213,8.3993,8.672,9.8017,2.4829,4.3078,7.8566,9.7303,6.0119,0,0.79831,5.0679,M28NUCO,M
0.83091,3.4579,6.195,7.934,3.6545,1.6551,0.83196,3.4963,6.8871,8.0904,7.9793,0.82417,0.90267,7.0291,6.7822,3.4926,0,0.83284,6.1314,M3ESDIR,H
4.363,4.4248,9.7532,8.1635,5.4503,6.1572,3.4845,5.169,9.0017,11.3878,7.2151,1.6746,1.7425,8.973,9.1154,8.1733,2.583,2.6517,6.338,M8AVGUK,H
5.8374,9.3521,5.9007,7.1756,7.9987,9.2391,0,6.9482,10.3676,10.5743,7.6176,2.4791,3.3638,10.3578,9.9544,6.0803,1.6516,0,7.8379,M9SAAND,H
