despues_Gio_gamma_1,despues_Gio_gamma_2,despues_Gio_gamma_3,despues_Gio_gamma_4,despues_Gio_gamma_5,despues_Gio_gamma_6,despues_Gio_gamma_7,despues_Gio_gamma_8,despues_Gio_gamma_9,despues_Gio_gamma_10,despues_Gio_gamma_11,despues_Gio_gamma_12,despues_Gio_gamma_13,despues_Gio_gamma_14,despues_Gio_gamma_15,despues_Gio_gamma_16,despues_Gio_gamma_17,despues_Gio_gamma_18,despues_Gio_gamma_19,Clase
2.5989,3.5051,5.2224,5.1607,3.4329,0.86607,0,2.6779,6.1694,6.3329,6.2156,3.4908,5.2327,6.1415,5.24,2.6006,0,0,1.6679,H
0.83017,1.6414,3.439,8.1099,6.0723,3.3904,0.80911,8.6248,7.7292,5.2367,8.7901,4.951,1.7607,5.1155,8.7169,7.8732,0.82303,0.85984,3.5363,M
0,4.9513,9.5714,3.1927,2.7217,5.9404,7.3477,5.9265,10.3853,10.6154,7.5194,4.231,11.3094,9.6641,11.1751,8.7628,5.9618,5.7609,6.9098,M
0.83562,1.653,5.0804,3.3367,2.7068,1.6968,1.6984,5.158,4.2398,3.3762,9.724,1.6439,3.3133,8.4838,7.013,4.2368,2.4877,1.665,3.5111,H
4.8961,2.3879,8.3075,2.3803,3.5073,3.2407,0.78972,3.3582,5.8564,3.7062,7.7651,2.4804,5.0965,5.7593,6.1251,6.8813,4.8294,1.6191,5.0082,H
1.5923,4.1253,6.5821,9.6906,6.874,1.6097,2.5046,8.4517,10.1457,9.7315,10.485,0.82159,1.648,7.9485,11.506,10.5225,0,6.7691,9.7473,M
5.0492,3.2269,7.9511,3.4536,0.82226,8.6442,7.0198,8.7295,6.1326,7.2062,0,1.7185,5.8742,10.4985,9.7453,5.2506,7.5966,6.8189,5.2123,M
3.3678,5.1267,5.9754,7,6.1397,3.4216,2.651,5.3029,6.9697,9.6484,6.9328,5.0231,2.4964,6.8082,0.82532,4.3528,5.1225,2.6609,6.7473,H
2.4799,1.7498,6.0519,1.7239,2.5164,2.5531,0.83447,5.2098,6.7282,5.443,9.6975,2.5103,2.4783,5.1434,7.1324,5.2,0.81738,2.464,5.2909,M
2.3325,0,6.4268,0,2.6653,3.1303,0,1.9002,4.8767,6.688,5.8429,3.1448,5.6203,7.5739,4.9574,5.7907,3.1277,1.5688,0,H
2.5059,0,9.5685,5.8574,7.6366,1.6123,0.82459,4.3157,6.6098,7.0141,6.3453,3.4273,1.6098,5.0561,7.1688,7.7668,4.0679,4.1428,3.6575,M
9.6451,10.6547,10.3496,0.8851,6.8253,10.4612,5.7508,10.0886,8.9725,10.4593,8.6794,9.0033,6.4379,10.1709,10.1619,4.4301,7.0976,5.0992,4.2636,M
0,2.5118,3.6787,3.3395,1.7016,1.6311,0,2.5601,4.2447,6.8898,6.9675,1.7044,1.7695,5.2936,6.0108,5.8829,0,1.689,4.1699,M
8.7482,4.4393,11.9114,10.6794,12.2739,6.9866,1.7,7.6429,12.0154,7.1135,11.5742,6.0177,6.0844,11.388,9.9047,10.5573,11.156,11.1613,9.8036,H
