@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 1\nSize of the tree: 1\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

despues_C_alpha_HM_AMB,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,38,4,1,3,0,25,75,0,-0.5,0.716346,0.828989,143.269231,165.797784,4,2150.893085,-2146.893085,1,537.723271,-536.723271,-1.791413,-0.447853,-179.141338,0,0,0.5,1,0.5,1,1,2,0,0,0,-0.57735,0.375,0.5,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0.375,0.5,0.2,0.25,0.002,0,0.01,0,10,0,6075,9383,2957,50,62.5,'Number of leaves: 7\nSize of the tree: 13\n',13,7,7
despues_C_beta_HM_AMB,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,4,0,0,100,0,0,1,0.123188,0.246377,24.637681,49.275362,4,0.979241,3.020759,1,0.24481,0.75519,3.020759,0.75519,302.075856,1,2,0,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,5691,8985,2937,100,62.5,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_beta_HM_AMB,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,1,3,0,25,75,0,-0.5,0.789177,0.869563,157.835349,173.912538,4,3222.245894,-3218.245894,1,805.561474,-804.561474,-2.245894,-0.561474,-224.589409,0.5,1,1,2,0,0,0.5,1,0.333333,0.5,0.4,-0.57735,0,0.416667,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0,0.458333,0.2,0.25,0,0,0,0,0,0,4963,8985,2937,25,62.5,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
despues_C_beta_HM_AMB,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,4,0,0,100,0,0,1,0.136998,0.15079,27.399577,30.158042,4,0.865675,3.134325,1,0.216419,0.783581,3.134325,0.783581,313.432518,1,2,0,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,5691,8985,2937,100,100,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_beta_HM_AMB,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,2,2,0,50,50,0,0,0.490612,0.648935,98.12231,129.787034,4,1076.657705,-1072.657705,1,269.164426,-268.164426,0.065079,0.01627,6.507856,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0,0.625,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.625,0.666667,0.5,0.5,0,0,0,0,0,0,4963,8985,2937,75,75,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
despues_C_beta_HM_AMB,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,4,0,0,100,0,0,1,0.136998,0.15079,27.399577,30.158042,4,0.865675,3.134325,1,0.216419,0.783581,3.134325,0.783581,313.432518,1,2,0,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,5691,8985,2937,100,100,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_beta_HM_AMB,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,2,2,0,50,50,0,0,0.535262,0.658219,107.052321,131.643853,4,7.657136,-3.657136,1,1.914284,-0.914284,-0.236149,-0.059037,-23.614874,0,0,0,0,1,2,1,2,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0,0.458333,0.333333,0.5,0.001,0,0,0,0,0,5691,8985,2937,100,100,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_beta_HM_AMB,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,4,0,0,100,0,0,1,0.033128,0.066256,6.625559,13.251117,4,0.205083,3.794917,1,0.051271,0.948729,3.794917,0.948729,379.491708,1,2,0,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0.01,0,10,0,5691,8985,2937,100,62.5,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_beta_HM_AMB,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,4,0,0,100,0,0,1,0.141292,0.14915,28.258337,29.829924,4,0.887978,3.112022,1,0.221994,0.778006,3.112022,0.778006,311.202203,1,2,0,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,5691,8985,2937,100,100,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_beta_HM_AMB,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,2,2,0,50,50,0,0,0.486655,0.663082,97.331006,132.616385,4,8.587574,-4.587574,1,2.146893,-1.146893,0.081164,0.020291,8.116408,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0,0.75,0.833333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.75,0.833333,0.5,0.5,0.001,0,0,0,0,0,5691,8985,2937,75,75,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6
despues_C_beta_HM_AMB,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,2,2,0,50,50,0,0,0.5,0.600925,100,120.185043,4,5.695994,-1.695994,1,1.423998,-0.423998,-0,-0,-0,1,2,1,2,0,0,0,0,0.5,1,0.666667,0,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.625,0.625,0.333333,0.5,0.001,0,0,0,0,0,4599,8985,2937,100,100,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3
despues_C_delta_HM_AMB,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180208.2346,36,4,1,3,0,25,75,0,-0.5,0.729167,0.842656,145.833333,168.531237,4,2151.584963,-2147.584963,1,537.896241,-536.896241,-1.874469,-0.468617,-187.446912,0.5,1,1,2,0,0,0.5,1,0.333333,0.5,0.4,-0.57735,0.25,0.416667,0.25,0.75,0.25,0.75,0.166667,0.25,0.2,-0.57735,0.25,0.458333,0.2,0.25,0.001,0,0,0,0,0,5347,9005,2957,50,62.5,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
